Id,title,artist
1,"Hey, Soul Sister",Train
2,Love The Way You Lie,Eminem
3,TiK ToK,Kesha
4,Bad Romance,Lady Gaga
5,Just the Way You Are,Bruno Mars
6,Baby,Justin Bieber
7,Dynamite,Taio Cruz
8,Secrets,OneRepublic
9,Empire State of Mind (Part II) Broken Down,Alicia Keys
10,Only Girl (In The World),Rihanna
11,Club Can't Handle Me (feat. David Guetta),Flo Rida
12,Marry You,Bruno Mars
13,Cooler Than Me - Single Mix,Mike Posner
14,Telephone,Lady Gaga
15,Like A G6,Far East Movement
16,OMG (feat. will.i.am),Usher
17,Eenie Meenie,Sean Kingston
18,The Time (Dirty Bit),The Black Eyed Peas
19,Alejandro,Lady Gaga
20,Your Love Is My Drug,Kesha
21,Meet Me Halfway,The Black Eyed Peas
22,Whataya Want from Me,Adam Lambert
23,Take It Off,Kesha
24,Misery,Maroon 5
25,All The Right Moves,OneRepublic
26,Animal,Neon Trees
27,Naturally,Selena Gomez & The Scene
28,I Like It,Enrique Iglesias
29,Teenage Dream,Katy Perry
30,California Gurls,Katy Perry
31,3,Britney Spears
32,My First Kiss - feat. Ke$ha,3OH!3
33,Blah Blah Blah (feat. 3OH!3),Kesha
34,Imma Be,The Black Eyed Peas
35,Try Sleeping with a Broken Heart,Alicia Keys
36,Sexy Bitch (feat. Akon),David Guetta
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera
38,If I Had You,Adam Lambert
39,Rock That Body,The Black Eyed Peas
40,Dog Days Are Over,Florence + The Machine
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera
42,Doesn't Mean Anything,Alicia Keys
43,Hard,Rihanna
44,Loca,Shakira
45,You Lost Me,Christina Aguilera
46,Not Myself Tonight,Christina Aguilera
47,Written in the Stars (feat. Eric Turner),Tinie Tempah
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher
49,Castle Walls (feat. Christina Aguilera),T.I.
50,Break Your Heart,Taio Cruz
51,Hello,Martin Solveig
52,A Thousand Years,Christina Perri
53,Someone Like You,Adele
54,Give Me Everything,Pitbull
55,Just the Way You Are,Bruno Mars
56,Rolling in the Deep,Adele
57,Run the World (Girls),Beyoncé
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5
59,Love On Top,Beyoncé
60,Grenade,Bruno Mars
61,Tonight Tonight,Hot Chelle Rae
62,What the Hell,Avril Lavigne
63,Born This Way,Lady Gaga
64,Monster,Kanye West
65,Marry You,Bruno Mars
66,Best Thing I Never Had,Beyoncé
67,Party Rock Anthem,LMFAO
68,We R Who We R,Kesha
69,Price Tag,Jessie J
70,Good Life,OneRepublic
71,Just Can’t Get Enough,The Black Eyed Peas
72,On The Floor,Jennifer Lopez
73,What's My Name?,Rihanna
74,Yeah 3x,Chris Brown
75,Without You (feat. Usher),David Guetta
76,Sexy And I Know It,LMFAO
77,The Edge Of Glory,Lady Gaga
78,E.T.,Katy Perry
79,Till the World Ends,Britney Spears
80,I Wanna Go,Britney Spears
81,Blow,Kesha
82,You And I,Lady Gaga
83,Judas,Lady Gaga
84,Tonight (I'm Fuckin' You),Enrique Iglesias
85,Please Don't Go,Mike Posner
86,We Found Love,Rihanna
87,Marry The Night,Lady Gaga
88,1+1,Beyoncé
89,Hold It Against Me,Britney Spears
90,I'm Into You,Jennifer Lopez
91,Papi,Jennifer Lopez
92,Cheers (Drink To That),Rihanna
93,S&M Remix,Rihanna
94,Written in the Stars (feat. Eric Turner),Tinie Tempah
95,Jar of Hearts,Christina Perri
96,Castle Walls (feat. Christina Aguilera),T.I.
97,Turning Page,Sleeping At Last
98,Super Bass,Nicki Minaj
99,Raise Your Glass,P!nk
100,Invading My Mind,Jennifer Lopez
101,Moment 4 Life - Album Version (Edited),Nicki Minaj
102,Last Friday Night (T.G.I.F.),Katy Perry
103,Firework,Katy Perry
104,Muny - Album Version (Edited),Nicki Minaj
105,Titanium (feat. Sia),David Guetta
106,Locked Out of Heaven,Bruno Mars
107,Paradise,Coldplay
108,Payphone,Maroon 5
109,What Makes You Beautiful,One Direction
110,I Knew You Were Trouble.,Taylor Swift
111,Call Me Maybe,Carly Rae Jepsen
112,Love You Like A Love Song,Selena Gomez & The Scene
113,Set Fire to the Rain,Adele
114,We Are Never Ever Getting Back Together,Taylor Swift
115,Stronger (What Doesn't Kill You),Kelly Clarkson
116,Try,P!nk
117,Starships,Nicki Minaj
118,One More Night,Maroon 5
119,Good Time,Owl City
120,Glad You Came,The Wanted
121,Beauty And A Beat,Justin Bieber
122,International Love,Pitbull
123,Some Nights,fun.
124,Boyfriend,Justin Bieber
125,Part Of Me,Katy Perry
126,Domino,Jessie J
127,Where Have You Been,Rihanna
128,Wide Awake,Katy Perry
129,The One That Got Away,Katy Perry
130,Dance Again,Jennifer Lopez
131,Turn Up the Music,Chris Brown
132,Lights - Single Version,Ellie Goulding
133,We Are Young (feat. Janelle Monáe),fun.
134,Diamonds,Rihanna
135,Don't Stop the Party (feat. TJR),Pitbull
136,You Da One,Rihanna
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes
138,It Will Rain,Bruno Mars
139,Blow Me (One Last Kiss),P!nk
140,Underneath the Tree,Kelly Clarkson
141,Wake Me Up,Avicii
142,Story of My Life,One Direction
143,Just Give Me a Reason (feat. Nate Ruess),P!nk
144,Hall of Fame,The Script
145,Roar,Katy Perry
146,We Can't Stop,Miley Cyrus
147,Don't You Worry Child - Radio Edit,Swedish House Mafia
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk
149,Wrecking Ball,Miley Cyrus
150,Impossible,James Arthur
151,Blurred Lines,Robin Thicke
152,Heart Attack,Demi Lovato
153,We Are Never Ever Getting Back Together,Taylor Swift
154,Die Young,Kesha
155,Clarity,Zedd
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey
157,Under Control,Calvin Harris
158,Everybody Talks,Neon Trees
159,"Hold On, We're Going Home",Drake
160,Best Song Ever,One Direction
161,Kiss You,One Direction
162,Sweet Nothing (feat. Florence Welch),Calvin Harris
163,Lose Yourself to Dance,Daft Punk
164,Work Bitch,Britney Spears
165,Brave,Sara Bareilles
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis
167,Feel This Moment (feat. Christina Aguilera),Pitbull
168,Beneath Your Beautiful,Labrinth
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic
172,The Way,Ariana Grande
173,Suit & Tie,Justin Timberlake
174,#thatPOWER,will.i.am
175,I Love It (feat. Charli XCX),Icona Pop
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta
177,Daylight,Maroon 5
178,Love Somebody,Maroon 5
179,A Little Party Never Killed Nobody (All We Got),Fergie
180,Move,Little Mix
181,Walks Like Rihanna,The Wanted
182,Rock N Roll,Avril Lavigne
183,Heartbreaker,Justin Bieber
184,Mirrors - Radio Edit,Justin Timberlake
185,Next To Me,Emeli Sandé
186,Made In The USA,Demi Lovato
187,Clown,Emeli Sandé
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys
189,TKO,Justin Timberlake
190,Come & Get It,Selena Gomez
191,Live It Up,Jennifer Lopez
192,We Own The Night,The Wanted
